Route,Method,Description,Authentication,Response,Rate Limit
REFERENCE SNAPSHOT,INFO,"Generated 2026-06-04; verify against the current Developer Center. Financial mutations remain preview-locked.",Admin-only reference,N/A,N/A
/,GET,Homepage,Public,HTML,—
/about,GET,About City Gate Capital,Public,HTML,—
/digital-banking,GET,Digital banking feature page,Public,HTML,—
/accounts,GET,Account types & pricing,Public,HTML,—
/support,GET,Help & support centre,Public,HTML,—
/contact,GET,Contact page,Public,HTML,—
/privacy-policy,GET,Privacy policy,Public,HTML,—
/terms-of-service,GET,Terms of service,Public,HTML,—
/cookie-policy,GET,Cookie policy,Public,HTML,—
/compliance,GET,Compliance & regulation,Public,HTML,—
/login,GET,Customer login page,Public,HTML,—
/register,GET,Customer registration page,Public,HTML,—
/forgot-password,GET,Customer password reset request page,Public,HTML,—
/reset-password,GET,Customer password reset page (token in query),Public,HTML,—
/dashboard,GET,Customer dashboard,Customer Auth,HTML,—
/wallet,GET,Wallet & balances,Customer Auth,HTML,—
/transfers,GET,Transfers & payments,Customer Auth,HTML,—
/kyc,GET,KYC verification flow,Customer Auth,HTML,—
/admin/login,GET,Admin login page,Public,HTML,—
/admin/forgot-password,GET,Admin password reset request page,Public,HTML,—
/admin/reset-password,GET,Admin password reset page (token in query),Public,HTML,—
/admin,GET,Admin dashboard,Admin Auth,HTML,—
/admin/users,GET,User management,Admin Auth,HTML,—
/admin/transactions,GET,Transaction management,Admin Auth,HTML,—
/admin/banking,GET,Banking operations,Admin Auth,HTML,—
/admin/crypto,GET,Crypto wallet management,Admin Auth,HTML,—
/admin/kyc,GET,KYC review queue,Admin Auth,HTML,—
/admin/support,GET,Support ticket management,Admin Auth,HTML,—
/admin/security,GET,Security monitoring,Admin Auth,HTML,—
/admin/rates,GET,Exchange rates & fees,Admin Auth,HTML,—
/admin/cms,GET,Content management,Admin Auth,HTML,—
/admin/newsletter,GET,Newsletter management,Admin Auth,HTML,—
/admin/smtp,GET,SMTP / email configuration,Admin Auth,HTML,—
/admin/contacts,GET,Contact form submissions,Admin Auth,HTML,—
/admin/social,GET,Social media settings,Admin Auth,HTML,—
/admin/chatbot,GET,Chatbot configuration,Admin Auth,HTML,—
/admin/links,GET,External links management,Admin Auth,HTML,—
/admin/website,GET,Website settings,Admin Auth,HTML,—
/admin/settings,GET,Admin settings,Admin Auth,HTML,—
/admin/documentation,GET,API documentation downloads,Admin Auth,HTML,—
/api/health,GET,Server health check,Public,JSON,Global 200/min
/api/csrf,GET,Get CSRF token,Public,JSON,Global 200/min
/api/og,GET,Open Graph image generator,Public,PNG,Global 200/min
/api/cms/content,GET,Public CMS content (60s cache),Public,JSON,Global 200/min
/api/settings/rates,GET,Public exchange rates & fees,Public,JSON,Global 200/min
/api/settings/social,GET,Public social media links,Public,JSON,Global 200/min
/api/contact,POST,Submit contact form,Public,JSON,10/hr/IP
/api/newsletter/subscribe,POST,Subscribe to newsletter,Public,JSON,5/hr/IP
/api/newsletter/unsubscribe,GET,Unsubscribe from newsletter,Public,JSON,Global 200/min
/api/accounts/apply,POST,Submit account application,Public,JSON,3/hr/IP
/api/analytics/event,POST,Track analytics event,Public,JSON,Global 200/min
/unsubscribe,GET,Newsletter unsubscribe (alias),Public,JSON,Global 200/min
/robots.txt,GET,Robots.txt,Public,Text,—
/sitemap.xml,GET,XML sitemap,Public,XML,—
/api/users/register,POST,Register new customer account,Public,JSON,5/hr/IP
/api/users/verify-email,GET,Verify email address,Public,JSON,Global 200/min
/api/users/login,POST,Customer login,Public,JSON,5/15min/IP
/api/users/session,GET,Get current session,Customer Auth,JSON,Global 200/min
/api/users/logout,POST,Logout customer,Customer Auth,JSON,Global 200/min
/api/users/password-reset,POST,Request customer password reset,Public,JSON,5/15min/IP
/api/users/password-reset/confirm,POST,Confirm customer password reset,Public,JSON,5/15min/IP
/api/users/me,PATCH,Update customer profile,Customer Auth,JSON,Global 200/min
/api/users/avatar,POST,Upload profile avatar,Customer Auth,JSON,Global 200/min
/api/users/kyc-document,POST,Upload KYC document,Customer Auth,JSON,Global 200/min
/api/users/balance,GET,Get wallet balances,Customer Auth,JSON,Global 200/min
/api/users/transactions,GET,Get transaction history,Customer Auth,JSON,Global 200/min
/api/users/transfer,POST,Initiate a transfer,Customer Auth,JSON,Global 200/min
/api/users/deposit,POST,Initiate a deposit,Customer Auth,JSON,Global 200/min
/api/users/withdraw,POST,Initiate a withdrawal,Customer Auth,JSON,Global 200/min
/api/users/swap,POST,Currency swap / exchange,Customer Auth,JSON,Global 200/min
/api/users/cards,GET,List customer's virtual cards,Customer Auth,JSON,Global 200/min
/api/users/cards/generate,POST,Generate a new virtual card,Customer Auth,JSON,Global 200/min
/api/users/cards/freeze,POST,Freeze / unfreeze a card,Customer Auth,JSON,Global 200/min
/api/users/cards/delete,POST,Delete a virtual card,Customer Auth,JSON,Global 200/min
/api/users/notifications,GET,Get customer notifications,Customer Auth,JSON,Global 200/min
/api/users/notifications/read,POST,Mark notifications as read,Customer Auth,JSON,Global 200/min
/api/users/support,GET,Get customer's support tickets,Customer Auth,JSON,Global 200/min
/api/users/support,POST,Submit a new support ticket,Customer Auth,JSON,Global 200/min
/api/admin/auth/login,POST,Admin login,Public,JSON,5/15min/IP
/api/admin/auth/otp/verify,POST,Verify OTP / 2FA code,Public,JSON,5/15min/IP
/api/admin/auth/password-reset,POST,Request admin password reset,Public,JSON,3/15min/IP
/api/admin/auth/password-reset/confirm,POST,Confirm admin password reset,Public,JSON,5/15min/IP
/api/admin/auth/verify,GET,Verify admin session,Public,JSON,Global 200/min
/api/admin/auth/logout,POST,Logout admin,Public,JSON,Global 200/min
/api/admin/auth/unlock,POST,Unlock admin account,Public,JSON,Global 200/min
/api/admin/auth/trusted-devices,GET,List trusted devices,Public,JSON,Global 200/min
